GROUP,TIME,COMPONENT,%WGT,%VOL,%MOL,AREA,DEN,RRF,BPC,BPF,sample_id
PARAFFIN,7.227,n-butane,2.692,3.447,3.733,109777.0,0.579,1.015,-0.5,31.1,42910
PARAFFIN,10.815,n-pentane,1.613,1.909,1.801,66215.0,0.626,1.008,36.06,96.908,42910
PARAFFIN,18.185,n-hexane,1.208,1.357,1.129,49783.0,0.659,1.004,68.73,155.714,42910
PARAFFIN,26.727,n-heptane,2.174,2.356,1.748,89963.0,0.684,1.0,98.42,209.156,42910
PARAFFIN,42.843,n-octane,0.129,0.136,0.091,5335.0,0.702,0.998,125.68,258.224,42910
PARAFFIN,57.657,n-nonane,0.084,0.086,0.053,3474.0,0.718,0.996,150.82,303.476,42910
PARAFFIN,66.325,n-decane,0.122,0.124,0.069,5075.0,0.73,0.994,174.15,345.47,42910
PARAFFIN,72.845,n-undecane,0.051,0.051,0.026,2130.0,0.744,0.993,195.9,384.62,42910
PARAFFIN,77.348,n-dodecane,0.014,0.014,0.007,576.0,0.753,0.992,216.3,421.34,42910
PARAFFIN,80.773,n-tridecane,0.003,0.003,0.001,126.0,0.756,0.991,235.4,455.72,42910
PARAFFIN,83.575,n-tetradecane,0.007,0.007,0.003,279.0,0.756,0.991,255.0,491.0,42910
I-PARAFFINS,6.65,i-butane,0.023,0.03,0.032,927.0,0.557,1.015,-11.72,10.904,42910
I-PARAFFINS,7.518,"2,2-dimethylpropane",0.007,0.009,0.008,299.0,0.591,1.008,9.5,49.1,42910
I-PARAFFINS,9.487,i-pentane,7.12,8.517,7.953,292347.0,0.62,1.008,27.84,82.112,42910
I-PARAFFINS,13.253,"2,2-dimethylbutane",0.128,0.146,0.12,5280.0,0.649,1.004,49.73,121.514,42910
I-PARAFFINS,15.883,"2,3-dimethylbutane",0.834,0.934,0.78,34367.0,0.662,1.004,57.98,136.364,42910
I-PARAFFINS,16.207,2-methylpentane,1.295,1.469,1.211,53367.0,0.653,1.004,60.26,140.468,42910
I-PARAFFINS,17.038,3-methylpentane,0.976,1.089,0.913,40245.0,0.664,1.004,63.27,145.886,42910
I-PARAFFINS,19.847,"2,2-dimethylpentane",0.081,0.089,0.065,3361.0,0.674,1.0,79.19,174.542,42910
I-PARAFFINS,20.323,"2,4-dimethylpentane",0.813,0.895,0.654,33633.0,0.673,1.0,80.49,176.882,42910
I-PARAFFINS,20.653,"2,2,3-trimethylbutane",0.041,0.044,0.033,1706.0,0.69,1.0,80.88,177.584,42910
I-PARAFFINS,22.26,"3,3-dimethylpentane",0.104,0.112,0.084,4320.0,0.693,1.0,86.06,186.908,42910
I-PARAFFINS,23.438,2-methylhexane,1.435,1.567,1.154,59392.0,0.679,1.0,90.05,194.09,42910
I-PARAFFINS,23.548,"2,3-dimethylpentane",1.425,1.519,1.146,58966.0,0.695,1.0,89.78,193.604,42910
I-PARAFFINS,24.227,3-methylhexane,1.996,2.153,1.605,82605.0,0.687,1.0,91.85,197.33,42910
I-PARAFFINS,25.223,3-ethylpentane,0.203,0.216,0.163,8409.0,0.698,1.0,93.47,200.246,42910
I-PARAFFINS,25.48,"2,2,4-trimethylpentane",12.873,13.79,9.082,533868.0,0.692,0.998,99.24,210.632,42910
I-PARAFFINS,29.322,"2,2-dimethylhexane",0.148,0.158,0.104,6135.0,0.695,0.998,106.84,224.312,42910
I-PARAFFINS,30.66,"2,5-dimethylhexane",0.734,0.785,0.518,30458.0,0.693,0.998,109.11,228.398,42910
I-PARAFFINS,30.747,"2,2,3-trimethylpentane",0.199,0.206,0.141,8264.0,0.716,0.998,109.85,229.73,42910
I-PARAFFINS,30.913,"2,4-dimethylhexane",0.63,0.666,0.444,26113.0,0.7,0.998,109.43,228.974,42910
I-PARAFFINS,33.137,"2,3,4-trimethylpentane",2.555,2.634,1.803,105977.0,0.719,0.998,113.47,236.246,42910
I-PARAFFINS,33.755,"2,3,3-trimethylpentane",2.819,2.877,1.989,116917.0,0.726,0.998,114.77,238.586,42910
I-PARAFFINS,34.937,"2,3-dimethylhexane",0.708,0.737,0.5,29363.0,0.712,0.998,115.61,240.098,42910
I-PARAFFINS,36.003,2-methylheptane,0.153,0.163,0.108,6361.0,0.698,0.998,117.65,243.77,42910
I-PARAFFINS,36.258,4-methylheptane,0.061,0.064,0.043,2533.0,0.705,0.998,117.71,243.878,42910
I-PARAFFINS,36.413,3-methyl-3-ethylpentane,0.059,0.062,0.042,2507.0,0.712,0.98,115.61,240.098,42910
I-PARAFFINS,36.52,"3,4-dimethylhexane",0.067,0.069,0.048,2795.0,0.719,0.998,117.73,243.914,42910
I-PARAFFINS,37.343,3-methylheptane,0.152,0.16,0.107,6299.0,0.706,0.998,118.93,246.074,42910
I-PARAFFINS,37.895,3-ethylhexane,0.012,0.012,0.008,485.0,0.714,0.998,118.54,245.372,42910
I-PARAFFINS,39.398,"2,2,5-trimethylhexane",1.237,1.296,0.777,51394.0,0.707,0.996,124.09,255.362,42910
I-PARAFFINS,44.453,"2,4,4-trimethylhexane",0.013,0.013,0.008,538.0,0.739,0.996,0.0,32.0,42910
I-PARAFFINS,46.485,"2,2-dimethylheptane",0.009,0.01,0.006,385.0,0.711,0.996,132.7,270.86,42910
I-PARAFFINS,47.55,"2,2,3-trimethylhexane",0.01,0.01,0.006,402.0,0.715,0.996,132.9,271.22,42910
I-PARAFFINS,47.585,"2,4-dimethylheptane",0.039,0.04,0.024,1617.0,0.715,0.996,132.9,271.22,42910
I-PARAFFINS,49.25,"2,5-dimethylheptane",0.014,0.015,0.009,591.0,0.717,0.996,136.0,276.8,42910
I-PARAFFINS,49.723,"2,6-dimethylheptane",0.12,0.126,0.076,5003.0,0.709,0.996,135.22,275.396,42910
I-PARAFFINS,50.245,i9-[2],0.008,0.008,0.005,342.0,0.73,0.996,0.0,32.0,42910
I-PARAFFINS,52.047,i9-[3],0.003,0.003,0.002,121.0,0.73,0.996,0.0,32.0,42910
I-PARAFFINS,52.838,i9-[5],0.014,0.014,0.009,592.0,0.73,0.996,132.0,269.6,42910
I-PARAFFINS,52.933,4-ethylheptane,0.014,0.014,0.009,576.0,0.72,0.996,142.44,288.392,42910
I-PARAFFINS,53.062,4-methyloctane,0.004,0.005,0.003,185.0,0.72,0.996,142.44,288.392,42910
I-PARAFFINS,53.23,2-methyloctane,0.011,0.011,0.007,451.0,0.713,0.996,143.28,289.904,42910
I-PARAFFINS,53.322,i9-[6],0.003,0.003,0.002,108.0,0.73,0.996,132.0,269.6,42910
I-PARAFFINS,53.622,3-ethylheptane,0.039,0.039,0.024,1604.0,0.726,0.996,143.0,289.4,42910
I-PARAFFINS,53.75,3-methyloctane,0.05,0.051,0.031,2063.0,0.72,0.996,144.23,291.614,42910
I-PARAFFINS,54.062,"3,3-diethylpentane",0.003,0.003,0.002,144.0,0.758,0.996,132.69,270.842,42910
I-PARAFFINS,54.547,i9-[8],0.056,0.057,0.035,2332.0,0.73,0.996,0.0,32.0,42910
I-PARAFFINS,55.038,i9-[9],0.02,0.02,0.013,833.0,0.73,0.996,0.0,32.0,42910
I-PARAFFINS,55.42,i9-[10],0.061,0.062,0.039,2553.0,0.73,0.996,0.0,32.0,42910
I-PARAFFINS,55.795,i9-[11],0.014,0.014,0.009,587.0,0.73,0.996,0.0,32.0,42910
I-PARAFFINS,57.525,i9-[12],0.122,0.123,0.076,5052.0,0.73,0.996,0.0,32.0,42910
I-PARAFFINS,59.345,i10-[1],0.116,0.117,0.065,4810.0,0.73,0.994,0.0,32.0,42910
I-PARAFFINS,59.522,i10-[2],0.042,0.043,0.024,1768.0,0.73,0.994,0.0,32.0,42910
I-PARAFFINS,59.682,"2,4-dimethyloctane",0.003,0.003,0.002,125.0,0.726,0.994,155.9,312.62,42910
I-PARAFFINS,59.845,i10-[3],0.003,0.003,0.002,139.0,0.73,0.994,157.0,314.6,42910
I-PARAFFINS,60.03,"2,6-dimethyloctane",0.018,0.018,0.01,734.0,0.728,0.994,160.41,320.738,42910
I-PARAFFINS,60.063,"2,5-dimethyloctane",0.012,0.012,0.007,487.0,0.73,0.994,158.5,317.3,42910
I-PARAFFINS,60.257,i10-[4],0.022,0.022,0.012,904.0,0.73,0.994,0.0,32.0,42910
I-PARAFFINS,60.977,i10-[5],0.005,0.005,0.003,196.0,0.73,0.994,0.0,32.0,42910
I-PARAFFINS,61.032,"3,3-dimethyloctane",0.055,0.055,0.031,2297.0,0.739,0.994,161.2,322.16,42910
I-PARAFFINS,61.498,i10-[7],0.009,0.009,0.005,368.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,61.682,"3,6-dimethyloctane",0.007,0.007,0.004,305.0,0.736,0.994,160.8,321.44,42910
I-PARAFFINS,62.042,i10-[8],0.007,0.007,0.004,289.0,0.73,0.994,157.0,314.6,42910
I-PARAFFINS,62.797,"2,3-dimethyloctane",0.04,0.04,0.023,1662.0,0.738,0.994,164.34,327.812,42910
I-PARAFFINS,63.195,i10-[9],0.002,0.002,0.001,97.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,63.263,i10-[10],0.016,0.016,0.009,663.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,63.415,5-methylnonane,0.036,0.037,0.021,1517.0,0.733,0.994,165.1,329.18,42910
I-PARAFFINS,63.477,4-methylnonane,0.932,0.934,0.528,38824.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,63.612,2-methylnonane,0.045,0.046,0.026,1885.0,0.726,0.994,167.03,332.654,42910
I-PARAFFINS,63.883,i10-[11],0.017,0.018,0.01,727.0,0.73,0.994,157.0,314.6,42910
I-PARAFFINS,64.142,3-methylnonane,0.057,0.058,0.032,2372.0,0.733,0.994,167.8,334.04,42910
I-PARAFFINS,64.39,i10-[13],0.003,0.003,0.002,127.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,64.685,i10-[14],0.005,0.005,0.003,227.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,64.733,i10-[15],0.065,0.065,0.037,2687.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,65.073,i10-[16],0.093,0.094,0.053,3888.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,65.28,i10-[17],0.009,0.009,0.005,356.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,65.317,i10-[18],0.003,0.003,0.002,143.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,66.038,i10-[19],0.064,0.064,0.036,2645.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,66.363,i10-[20],0.038,0.038,0.021,1572.0,0.74,0.994,0.0,32.0,42910
I-PARAFFINS,66.508,i11-[0],0.039,0.04,0.02,1646.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,66.888,i11-[1],0.005,0.005,0.003,227.0,0.74,0.993,150.0,302.0,42910
I-PARAFFINS,67.442,i11-[2],0.007,0.007,0.004,299.0,0.74,0.993,150.0,302.0,42910
I-PARAFFINS,67.477,i11-[3],0.05,0.05,0.026,2069.0,0.74,0.993,150.0,302.0,42910
I-PARAFFINS,67.588,i11-[4],0.025,0.025,0.013,1042.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,67.722,i11-[5],0.003,0.003,0.002,130.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,67.785,i11-[6],0.012,0.012,0.006,491.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,68.055,i11-[8],0.027,0.027,0.014,1140.0,0.74,0.993,150.0,302.0,42910
I-PARAFFINS,68.393,3-ethylnonane,0.011,0.011,0.006,478.0,0.744,0.993,0.0,32.0,42910
I-PARAFFINS,68.782,"2,5,6-trimethyloctane",0.084,0.084,0.043,3513.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,68.86,i11-[9],0.01,0.01,0.005,408.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,69.082,i11-[10],0.343,0.318,0.179,14305.0,0.8,0.993,0.0,32.0,42910
I-PARAFFINS,69.337,i11-[11],0.036,0.036,0.019,1515.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,69.982,i11-[13],0.006,0.006,0.003,269.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,70.387,i11-[14],0.123,0.123,0.064,5134.0,0.74,0.993,150.0,302.0,42910
I-PARAFFINS,70.523,i11-[17],0.031,0.031,0.016,1297.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,70.603,i11-[18],0.014,0.014,0.007,565.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,70.778,i11-[20],0.012,0.012,0.006,515.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,71.13,i11-[21],0.021,0.021,0.011,860.0,0.74,0.993,150.0,302.0,42910
I-PARAFFINS,71.168,i11-[22],0.012,0.012,0.006,506.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,71.292,i11-[23],0.008,0.008,0.004,343.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,71.723,i11-[25],0.07,0.07,0.036,2923.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,71.823,i11-[26],0.042,0.042,0.022,1762.0,0.74,0.993,150.0,302.0,42910
I-PARAFFINS,72.14,i11-[27],0.002,0.002,0.001,68.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,72.297,i11-[28],0.01,0.01,0.005,400.0,0.74,0.993,150.0,302.0,42910
I-PARAFFINS,72.37,i11-[29],0.006,0.006,0.003,260.0,0.74,0.993,0.0,32.0,42910
I-PARAFFINS,72.968,i12-[1],0.043,0.042,0.02,1779.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,73.85,i12-[5],0.042,0.042,0.02,1763.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,73.937,i12-[6],0.003,0.003,0.002,145.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,74.03,i12-[7],0.005,0.005,0.002,200.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,74.382,i12-[10],0.432,0.425,0.204,18018.0,0.753,0.992,216.3,421.34,42910
I-PARAFFINS,75.562,i12-[14],0.005,0.005,0.002,193.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,75.865,i12-[17],0.003,0.003,0.001,130.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,75.942,i12-[18],0.017,0.017,0.008,709.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,76.235,i12-[19],0.033,0.033,0.016,1380.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,76.428,i12-[20],0.026,0.026,0.012,1086.0,0.753,0.992,216.3,421.34,42910
I-PARAFFINS,76.457,i12-[21],0.008,0.008,0.004,326.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,76.547,i12-[23],0.009,0.009,0.004,375.0,0.753,0.992,216.3,421.34,42910
I-PARAFFINS,76.718,i12-[25],0.008,0.008,0.004,347.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,76.827,i12-[26],0.066,0.065,0.031,2735.0,0.753,0.992,150.0,302.0,42910
I-PARAFFINS,77.677,i13-[1],0.002,0.002,0.001,104.0,0.756,0.991,150.0,302.0,42910
I-PARAFFINS,79.182,i13-[4],0.002,0.002,0.001,72.0,0.756,0.991,235.0,455.0,42910
I-PARAFFINS,79.288,i13-[5],0.003,0.003,0.001,116.0,0.756,0.991,150.0,302.0,42910
I-PARAFFINS,79.715,i14-[0],0.004,0.004,0.002,181.0,0.756,0.991,235.0,455.0,42910
I-PARAFFINS,79.773,i14-[1],0.004,0.004,0.002,189.0,0.9,0.945,216.0,420.8,42910
I-PARAFFINS,79.883,i14-[3],0.008,0.008,0.004,348.0,0.756,0.991,235.4,455.72,42910
I-PARAFFINS,79.948,i14-[4],0.003,0.003,0.001,112.0,0.756,0.991,235.0,455.0,42910
I-PARAFFINS,80.153,i14-[6],0.013,0.012,0.005,528.0,0.762,0.99,235.0,455.0,42910
I-PARAFFINS,80.308,i14-[8],0.003,0.003,0.001,116.0,0.762,0.99,235.0,455.0,42910
I-PARAFFINS,80.407,i14-[9],0.002,0.002,0.001,95.0,0.762,0.99,235.0,455.0,42910
I-PARAFFINS,80.853,i14-[13],0.001,0.001,0.0,51.0,0.762,0.99,244.0,471.2,42910
I-PARAFFINS,81.652,i14-[16],0.007,0.007,0.003,303.0,0.762,0.99,244.0,471.2,42910
I-PARAFFINS,82.06,i14-[18],0.005,0.005,0.002,194.0,0.762,0.99,244.0,471.2,42910
I-PARAFFINS,82.23,i15-[0],0.01,0.009,0.004,472.0,0.813,0.899,244.0,471.2,42910
I-PARAFFINS,83.3,i15-[7],0.001,0.001,0.001,62.0,0.813,0.899,244.0,471.2,42910
I-PARAFFINS,86.455,i16-[21],0.002,0.002,0.001,107.0,0.813,0.898,267.0,512.6,42910
I-PARAFFINS,86.767,i16-[25],0.004,0.004,0.002,199.0,0.813,0.898,267.0,512.6,42910
I-PARAFFINS,87.36,i17-[2],0.007,0.007,0.002,342.0,0.813,0.897,275.0,527.0,42910
I-PARAFFINS,87.46,i17-[3],0.007,0.007,0.002,336.0,0.813,0.897,275.0,527.0,42910
I-PARAFFINS,88.347,i17-[10],0.008,0.007,0.003,378.0,0.813,0.897,275.0,527.0,42910
I-PARAFFINS,88.947,i17-[16],0.005,0.004,0.002,213.0,0.813,0.897,275.0,527.0,42910
I-PARAFFINS,90.053,i18-[8],0.002,0.002,0.001,77.0,0.813,0.896,275.0,527.0,42910
AROMATICS,21.888,benzene,0.616,0.52,0.636,28031.0,0.879,0.91,80.09,176.162,42910
AROMATICS,33.958,toluene,6.488,5.547,5.675,291895.0,0.867,0.92,110.63,231.134,42910
AROMATICS,51.318,ethylbenzene,1.045,0.893,0.793,46652.0,0.867,0.927,136.2,277.16,42910
AROMATICS,52.485,m-xylene,2.525,2.166,1.917,112745.0,0.864,0.927,139.12,282.416,42910
AROMATICS,52.622,p-xylene,1.142,0.983,0.867,50997.0,0.861,0.927,138.36,281.048,42910
AROMATICS,55.243,o-xylene,0.944,0.795,0.716,42141.0,0.88,0.927,144.43,291.974,42910
AROMATICS,58.835,i-propylbenzene,0.044,0.038,0.029,1937.0,0.862,0.933,152.41,306.338,42910
AROMATICS,61.603,n-propylbenzene,0.395,0.339,0.265,17509.0,0.862,0.933,159.24,318.632,42910
AROMATICS,62.28,"1,3-methylethylbenzene",1.454,1.246,0.975,64487.0,0.864,0.933,161.33,322.394,42910
AROMATICS,62.447,"1,4-methylethylbenzene",0.667,0.574,0.447,29590.0,0.861,0.933,162.01,323.618,42910
AROMATICS,62.933,"1,3,5-trimethylbenzene",0.793,0.68,0.532,35191.0,0.865,0.933,164.74,328.532,42910
AROMATICS,63.753,"1,2-methylethylbenzene",0.532,0.448,0.357,23616.0,0.881,0.933,165.18,329.324,42910
AROMATICS,64.81,t-butylbenzene,0.031,0.027,0.021,1393.0,0.867,0.933,183.4,362.12,42910
AROMATICS,64.955,"1,2,4-trimethylbenzene",2.642,2.236,1.772,117213.0,0.876,0.933,169.38,336.884,42910
AROMATICS,66.148,i-butylbenzene,0.082,0.072,0.049,3634.0,0.853,0.938,172.79,343.022,42910
AROMATICS,67.053,"1,2,3-trimethylbenzene",0.495,0.41,0.332,21939.0,0.894,0.933,176.12,349.016,42910
AROMATICS,67.138,"1,3-methyl-i-propylbenzene",0.073,0.063,0.044,3219.0,0.861,0.938,175.08,347.144,42910
AROMATICS,67.378,"1,4-methyl-i-propylbenzene",0.03,0.026,0.018,1319.0,0.857,0.938,177.13,350.834,42910
AROMATICS,67.897,2-3-dihydroindene,0.206,0.159,0.141,9310.0,0.964,0.918,177.85,352.13,42910
AROMATICS,68.297,"1,2-methyl-i-propylbenzene",0.26,0.22,0.156,11468.0,0.877,0.938,178.18,352.724,42910
AROMATICS,69.227,"1,3-methyl-n-propylbenzene",0.282,0.243,0.17,12463.0,0.861,0.938,182.01,359.618,42910
AROMATICS,69.387,"1,4-diethylbenzene",0.007,0.006,0.004,311.0,0.862,0.938,183.79,362.822,42910
AROMATICS,69.488,"1,4-methyl-n-propylbenzene",0.15,0.129,0.09,6600.0,0.858,0.938,183.42,362.156,42910
AROMATICS,69.565,n-butylbenzene,0.075,0.064,0.045,3292.0,0.861,0.938,183.3,361.94,42910
AROMATICS,69.678,"1,3-dimethyl-5-ethylbenzene",0.274,0.231,0.164,12083.0,0.88,0.938,183.62,362.516,42910
AROMATICS,69.868,"1,2-diethylbenzene",0.02,0.017,0.012,872.0,0.88,0.938,183.46,362.228,42910
AROMATICS,70.35,neo-pentylbenzene,0.017,0.014,0.009,745.0,0.89,0.942,205.0,401.0,42910
AROMATICS,70.93,"1,4,dimethyl-2-ethylbenzene",0.25,0.211,0.15,11036.0,0.877,0.938,186.87,368.366,42910
AROMATICS,71.053,"1,3-dimethyl-4-ethylbenzene",0.189,0.163,0.114,8354.0,0.859,0.938,188.24,370.832,42910
AROMATICS,71.433,"1,2-dimethyl-4-ethylbenzene",0.43,0.365,0.258,18982.0,0.874,0.938,189.52,373.136,42910
AROMATICS,71.667,(1-ethylpropyl)benzene,0.007,0.005,0.004,287.0,0.89,0.942,196.0,384.8,42910
AROMATICS,72.033,"1,4-methyl-t-butylbenzene",0.005,0.004,0.003,226.0,0.85,0.942,0.0,32.0,42910
AROMATICS,72.487,s-pentylbenzene,0.071,0.06,0.039,3140.0,0.89,0.942,205.0,401.0,42910
AROMATICS,72.64,"1,2-dimethyl-3-ethylbenzene",0.199,0.165,0.119,8773.0,0.892,0.938,193.95,381.11,42910
AROMATICS,72.743,"1,2-ethyl-i-propylbenzene",0.011,0.009,0.006,501.0,0.89,0.942,0.0,32.0,42910
AROMATICS,72.932,"1,4-ethyl-i-propylbenzene",0.006,0.005,0.003,257.0,0.89,0.942,0.0,32.0,42910
AROMATICS,73.167,"3,5-dimethylcumene",0.022,0.019,0.012,988.0,0.89,0.942,196.0,384.8,42910
AROMATICS,73.28,"1,2,4,5-tetramethylbenzene",0.63,0.527,0.379,27818.0,0.887,0.938,196.84,386.312,42910
AROMATICS,73.397,"1,2-methyl-n-butylbenzene",0.02,0.017,0.011,890.0,0.89,0.942,199.0,390.2,42910
AROMATICS,73.472,"1,2,3,5-tetramethylbenzene",0.972,0.809,0.584,42900.0,0.89,0.938,198.04,388.472,42910
AROMATICS,73.61,i-pentylbenzene,0.027,0.023,0.015,1190.0,0.89,0.942,205.0,401.0,42910
AROMATICS,74.06,a11-[5],0.008,0.007,0.004,350.0,0.89,0.942,196.0,384.8,42910
AROMATICS,74.108,"1,2-methyl-t-butylbenzene",0.003,0.003,0.002,141.0,0.89,0.942,0.0,32.0,42910
AROMATICS,74.3,5-methylindan,0.136,0.113,0.083,5995.0,0.89,0.938,0.0,32.0,42910
AROMATICS,74.487,a11-[7],0.007,0.006,0.004,327.0,0.89,0.942,196.0,384.8,42910
AROMATICS,74.54,4-methylindan,0.138,0.115,0.084,6081.0,0.89,0.938,0.0,32.0,42910
AROMATICS,74.62,"3,4-dimethylcumene",0.013,0.011,0.007,569.0,0.89,0.942,196.0,384.8,42910
AROMATICS,74.67,"1,2-ethyl-n-propylbenzene",0.209,0.174,0.113,9169.0,0.89,0.942,0.0,32.0,42910
AROMATICS,74.89,2-methylindan,0.578,0.474,0.352,25501.0,0.903,0.938,187.0,368.6,42910
AROMATICS,75.05,"1,2,3,4-tetramethylbenzene",0.619,0.517,0.371,27298.0,0.887,0.938,196.8,386.24,42910
AROMATICS,75.238,n-pentylbenzene,0.046,0.038,0.025,2019.0,0.89,0.942,205.4,401.72,42910
AROMATICS,75.447,"1,2-di-i-propylbenzene",0.171,0.143,0.085,7495.0,0.89,0.945,204.0,399.2,42910
AROMATICS,75.493,a11-[13],0.103,0.086,0.056,4513.0,0.89,0.942,196.0,384.8,42910
AROMATICS,75.657,"2,6-dimethylcumene",0.128,0.106,0.069,5613.0,0.89,0.942,196.0,384.8,42910
AROMATICS,75.74,"1,4-di-i-propylbenzene",0.177,0.147,0.088,7750.0,0.89,0.945,210.3,410.54,42910
AROMATICS,76.043,"1-t-butyl-3,5-dimethylbenzene",0.251,0.209,0.125,11001.0,0.89,0.945,0.0,32.0,42910
AROMATICS,76.305,naphthalene,0.334,0.242,0.21,15439.0,1.025,0.896,217.99,424.382,42910
AROMATICS,76.603,"1,3-di-n-propylbenzene",0.082,0.068,0.041,3597.0,0.89,0.945,0.0,32.0,42910
AROMATICS,76.697,"(1,2-dimethylpropyl)benzene",0.029,0.024,0.016,1272.0,0.89,0.942,205.0,401.0,42910
AROMATICS,77.028,"2-ethyl-1,3,5-trimethylbenzene",0.213,0.178,0.116,9368.0,0.89,0.942,205.0,401.0,42910
AROMATICS,77.105,"1,2,5-trimethyl-3-ethylbenzene",0.115,0.096,0.063,5063.0,0.89,0.942,205.0,401.0,42910
AROMATICS,77.467,a11-[24],0.07,0.059,0.038,3092.0,0.89,0.942,196.0,384.8,42910
AROMATICS,77.772,a11-[26],0.005,0.004,0.003,234.0,0.89,0.942,196.0,384.8,42910
AROMATICS,77.857,"3-ethyl-1,2,4-trimethylbenzene",0.011,0.009,0.006,479.0,0.89,0.942,205.0,401.0,42910
AROMATICS,77.937,a11-[28],0.002,0.002,0.001,100.0,0.89,0.942,196.0,384.8,42910
AROMATICS,78.085,a12-[5],0.017,0.014,0.008,738.0,0.9,0.945,216.0,420.8,42910
AROMATICS,78.373,a12-[9],0.01,0.008,0.005,435.0,0.9,0.945,216.0,420.8,42910
AROMATICS,78.462,"1,2,3-trimethyl-4-ethylbenzene",0.018,0.015,0.01,772.0,0.89,0.942,205.0,401.0,42910
AROMATICS,78.732,a12-[13],0.003,0.003,0.002,134.0,0.9,0.945,216.0,420.8,42910
AROMATICS,78.79,a12-[14],0.001,0.001,0.001,60.0,0.9,0.945,216.0,420.8,42910
AROMATICS,79.032,"1,4-methyl-n-pentylbenzene",0.024,0.02,0.012,1037.0,0.89,0.945,0.0,32.0,42910
AROMATICS,79.348,n-hexylbenzene,0.003,0.003,0.002,134.0,0.89,0.945,0.0,32.0,42910
AROMATICS,79.527,a12-[23],0.021,0.018,0.011,931.0,0.9,0.945,216.0,420.8,42910
AROMATICS,79.65,a12-[24],0.007,0.006,0.003,306.0,0.9,0.945,216.0,420.8,42910
AROMATICS,80.003,a12-[28],0.005,0.004,0.002,205.0,0.9,0.945,216.0,420.8,42910
AROMATICS,80.073,a12-[29],0.005,0.004,0.003,226.0,0.9,0.945,216.0,420.8,42910
AROMATICS,80.13,"1,2,3,4,5-pentamethylbenzene",0.025,0.018,0.013,1078.0,1.0,0.942,232.0,449.6,42910
AROMATICS,80.517,2-methylnaphthalene,0.288,0.209,0.162,13183.0,1.02,0.903,244.6,472.28,42910
AROMATICS,80.623,a12-[32],0.002,0.002,0.001,100.0,0.9,0.945,216.0,420.8,42910
AROMATICS,81.053,1-methylnaphthalene,0.155,0.113,0.087,7118.0,1.02,0.903,244.64,472.352,42910
AROMATICS,81.385,a12-[39],0.01,0.008,0.005,423.0,0.9,0.945,216.0,420.8,42910
AROMATICS,81.485,a12-[41],0.004,0.004,0.002,196.0,0.9,0.945,216.0,420.8,42910
AROMATICS,81.693,a12-[43],0.003,0.002,0.001,129.0,0.9,0.945,216.0,420.8,42910
AROMATICS,81.935,a12-[46],0.004,0.003,0.002,154.0,0.9,0.945,216.0,420.8,42910
AROMATICS,82.175,a12-[48],0.003,0.003,0.002,137.0,0.9,0.945,216.0,420.8,42910
AROMATICS,82.555,a12-[53],0.002,0.002,0.001,99.0,0.9,0.945,216.0,420.8,42910
AROMATICS,82.833,a12-[56],0.003,0.002,0.001,119.0,0.9,0.945,216.0,420.8,42910
AROMATICS,82.94,biphenyl,0.008,0.005,0.004,337.0,1.04,0.945,218.0,424.4,42910
